position,TerrainHeight,Sun Visibility 60m,Polar Winter Min Temp,lon,lat
1.019685,1320.607198,0.34884,53.895317,48.616056,-89.874149
1.022549,1320.567198,0.34884,53.895317,48.603482,-89.874239
1.025413,1320.537198,0.34884,53.895317,48.59089,-89.87433
1.028277,1320.497379,0.34884,53.895317,48.57828,-89.87442
1.031141,1320.46774,0.355,53.895317,48.565651,-89.87451
1.034006,1320.428102,0.355,53.895317,48.553005,-89.874601
1.03687,1320.318554,0.355,53.895317,48.54034,-89.874691
1.039734,1320.149259,0.355,53.895317,48.527656,-89.874781
1.042598,1319.88765,0.355,53.895317,48.514955,-89.874872
1.045462,1319.577469,0.355,53.895317,48.502235,-89.874962
1.048326,1319.297289,0.355,53.895317,48.489497,-89.875052
1.051191,1319.038651,0.355,53.895317,48.47674,-89.875142
1.054055,1318.777289,0.355,53.895317,48.463965,-89.875233
1.056919,1318.539411,0.355,53.895317,48.451172,-89.875323
1.059783,1318.288066,0.355,53.895317,48.438359,-89.875413
1.062647,1318.027017,0.355,53.895317,48.425529,-89.875503
1.065512,1317.757289,0.37276,53.895317,48.412679,-89.875594
1.068376,1317.538895,0.37276,53.895317,48.399811,-89.875684
1.07124,1317.468663,0.37276,53.895317,48.386925,-89.875774
1.074104,1317.429141,0.37276,53.895317,48.374019,-89.875864
1.076968,1317.386384,0.37276,53.895317,48.361095,-89.875955
1.079832,1317.358779,0.37276,53.895317,48.348152,-89.876045
1.082697,1317.326842,0.37276,53.895317,48.33519,-89.876135
1.085561,1317.296565,0.37276,53.895317,48.32221,-89.876225
1.088425,1317.296836,0.37276,53.895317,48.30921,-89.876315
1.091289,1317.327017,0.37276,53.895317,48.296191,-89.876405
1.094153,1317.420034,0.37276,53.895317,48.283154,-89.876496
1.097018,1317.506655,0.37276,53.895317,48.270097,-89.876586
1.099882,1317.626203,0.37276,53.895317,48.257021,-89.876676
1.102746,1317.616113,0.37276,53.895317,48.243926,-89.876766
1.10561,1317.516475,0.37276,53.895317,48.230812,-89.876856
1.108474,1317.389281,0.37276,53.895317,48.217679,-89.876946
1.111338,1317.259459,0.37276,53.895317,48.204527,-89.877037
1.114203,1317.218036,0.37276,53.895317,48.191355,-89.877127
1.117067,1317.286927,0.37276,53.895317,48.178164,-89.877217
1.119931,1317.377774,0.37276,53.895317,48.164953,-89.877307
1.122795,1317.436565,0.37276,53.895317,48.151723,-89.877397
1.125659,1317.439628,0.37276,53.895317,48.138474,-89.877487
1.128524,1317.346656,0.37276,53.895317,48.125205,-89.877577
1.131388,1317.087485,0.37476,53.895317,48.111916,-89.877667
1.134252,1316.948341,0.37476,53.895317,48.098608,-89.877757
1.137116,1316.936384,0.37476,53.895317,48.08528,-89.877847
1.13998,1316.976384,0.37476,53.895317,48.071933,-89.877938
1.142844,1317.028301,0.37476,53.895317,48.058566,-89.878028
1.145709,1317.036836,0.37476,53.895317,48.045179,-89.878118
1.148573,1317.00756,0.37476,53.895317,48.031772,-89.878208
1.151437,1316.857289,0.37476,53.895317,48.018346,-89.878298
1.154301,1316.589855,0.37476,53.895317,48.0049,-89.878388
1.157165,1316.369358,0.37476,53.895317,47.991433,-89.878478
1.160029,1316.196656,0.37476,53.895317,47.977947,-89.878568
1.162894,1316.018193,0.37476,53.895317,47.964441,-89.878658
1.165758,1315.840149,0.37476,53.895317,47.950915,-89.878748
1.168622,1315.666566,0.37476,53.895317,47.937368,-89.878838
1.171486,1315.506566,0.37476,53.895317,47.923802,-89.878928
1.17435,1315.357413,0.38752,53.895317,47.910215,-89.879018
1.177215,1315.196385,0.38752,53.895317,47.896608,-89.879108
1.180079,1314.96893,0.38752,53.895317,47.882981,-89.879198
1.182943,1314.708917,0.38752,53.895317,47.869333,-89.879288
1.185807,1314.527108,0.38752,53.895317,47.855665,-89.879378
1.188671,1314.359315,0.38752,53.895317,47.841977,-89.879468
1.191535,1314.20747,0.38752,53.895317,47.828268,-89.879558
1.1944,1314.029314,0.38752,53.895317,47.814539,-89.879648
1.197264,1313.847831,0.36088,53.895317,47.800789,-89.879738
1.200128,1313.638126,0.36088,53.895317,47.787019,-89.879827
1.202992,1313.409779,0.36088,53.895317,47.773228,-89.879917
1.205856,1313.167651,0.36088,53.895317,47.759416,-89.880007
1.208721,1312.959156,0.36088,53.895317,47.745584,-89.880097
1.211585,1312.809605,0.36088,53.895317,47.731731,-89.880187
1.214449,1312.729334,0.36088,53.895317,47.717857,-89.880277
1.217313,1312.627831,0.36088,53.895317,47.703962,-89.880367
1.220177,1312.527921,0.36088,53.895317,47.690047,-89.880457
1.223041,1312.408254,0.36088,53.895317,47.67611,-89.880547
1.225906,1312.280001,0.36088,53.895317,47.662152,-89.880636
1.22877,1312.148283,0.36088,53.895317,47.648174,-89.880726
1.231634,1311.998554,0.36088,53.895317,47.634174,-89.880816
1.234498,1311.899468,0.36088,53.895317,47.620153,-89.880906
1.237362,1311.848735,0.36088,53.895317,47.606111,-89.880996
1.240227,1311.819441,0.36088,53.895317,47.592048,-89.881086
1.243091,1311.808554,0.36088,53.895317,47.577964,-89.881176
1.245955,1311.808554,0.36088,53.895317,47.563858,-89.881265
1.248819,1311.828463,0.36088,53.895317,47.549731,-89.881355
