position,TerrainSlope,lon,lat
0.602211,9.895744,43.772432,-89.694245
0.603211,9.803017,43.776707,-89.694269
0.604211,9.871202,43.780983,-89.694293
0.605211,9.906369,43.78526,-89.694317
0.606211,9.908668,43.789538,-89.69434
0.607211,9.907775,43.793816,-89.694364
0.608211,9.908299,43.798095,-89.694388
0.609211,10.125117,43.802374,-89.694412
0.610211,10.216491,43.806655,-89.694436
0.611211,10.216491,43.810935,-89.694459
0.612211,10.217616,43.815217,-89.694483
0.613211,10.218909,43.819499,-89.694507
0.614211,10.561827,43.823782,-89.694531
0.615211,10.870347,43.828066,-89.694555
0.616211,11.016346,43.83235,-89.694578
0.617211,10.949821,43.836635,-89.694602
0.618211,10.94982,43.84092,-89.694626
0.619211,11.257662,43.845206,-89.69465
0.620211,11.622451,43.849493,-89.694674
0.621211,11.748135,43.853781,-89.694697
0.622211,11.75556,43.858069,-89.694721
0.623211,11.911654,43.862358,-89.694745
0.624211,11.534435,43.866647,-89.694769
0.625211,11.161224,43.870938,-89.694792
0.626211,11.255243,43.875228,-89.694816
0.627211,11.278311,43.87952,-89.69484
0.628211,11.186172,43.883812,-89.694864
0.629211,11.394374,43.888105,-89.694888
0.630211,11.583868,43.892399,-89.694911
0.631211,11.446747,43.896693,-89.694935
0.632211,11.657648,43.900988,-89.694959
0.633211,11.732653,43.905283,-89.694983
0.634211,11.922067,43.90958,-89.695006
0.635211,12.226219,43.913876,-89.69503
0.636211,12.188269,43.918174,-89.695054
0.637211,12.265927,43.922472,-89.695078
0.638211,12.233433,43.926771,-89.695101
0.639211,12.188563,43.931071,-89.695125
0.640211,12.244148,43.935371,-89.695149
0.641211,12.414856,43.939672,-89.695173
0.642211,12.595228,43.943974,-89.695196
0.643211,12.570777,43.948276,-89.69522
0.644211,11.696015,43.952579,-89.695244
0.645211,10.679433,43.956882,-89.695268
0.646211,10.162452,43.961187,-89.695291
0.647211,9.84648,43.965492,-89.695315
0.648211,9.642449,43.969797,-89.695339
0.649211,9.443636,43.974103,-89.695363
0.650211,9.544347,43.97841,-89.695386
0.651211,9.360523,43.982718,-89.69541
0.652211,9.060547,43.987026,-89.695434
0.653211,9.069485,43.991335,-89.695457
0.654211,9.412064,43.995645,-89.695481
0.655211,9.543804,43.999955,-89.695505
0.656211,9.536802,44.004266,-89.695529
0.657211,9.556061,44.008578,-89.695552
0.658211,9.47505,44.01289,-89.695576
0.659211,9.83807,44.017203,-89.6956
0.660211,10.185649,44.021517,-89.695623
0.661211,10.208308,44.025831,-89.695647
0.662211,10.12218,44.030146,-89.695671
0.663211,10.211852,44.034462,-89.695695
0.664211,10.685392,44.038778,-89.695718
0.665211,10.984777,44.043095,-89.695742
0.666211,10.926135,44.047413,-89.695766
0.667211,11.072949,44.051731,-89.695789
0.668211,11.080232,44.05605,-89.695813
0.669211,11.479634,44.06037,-89.695837
